Año,Sector,Código de sector,Entidad,Código de entidad,Apropiación a precios corrientes,Tipo de gasto,Indice_base_2025,Apropiación a precios constantes (2025)
2013,Congreso de la república,1.0,Congreso de la república,101,383435000000.0,Funcionamiento,53.46505625304829,717169356720.0513
2013,Congreso de la república,1.0,Congreso de la república,101,71142317260.0,Inversión,53.46505625304829,133063204728.12341
2013,Presidencia de la república,2.0,Presidencia de la república,201,153380609752.0,Funcionamiento,53.46505625304829,286880105439.4384
2013,Presidencia de la república,2.0,Presidencia de la república,201,105666752705.0,Inversión,53.46505625304829,197637036431.57663
2013,Presidencia de la república,2.0,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",209,23052000000.0,Funcionamiento,53.46505625304829,43116011869.314545
2013,Presidencia de la república,2.0,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",209,50153000000.0,Inversión,53.46505625304829,93805194485.58617
2013,Presidencia de la república,2.0,Unidad nacional para la gestión del riesgo de desastres,211,30449000000.0,Funcionamiento,53.46505625304829,56951216614.990395
2013,Presidencia de la república,2.0,Unidad nacional para la gestión del riesgo de desastres,211,2392812678.0,Inversión,53.46505625304829,4475470233.63241
2013,Presidencia de la república,2.0,Agencia para la reincorporación y la normalización - arn,212,152256000000.0,Funcionamiento,53.46505625304829,284776657260.73035
2013,Presidencia de la república,2.0,Agencia para la reincorporación y la normalización - arn,212,4290000000.0,Inversión,53.46505625304829,8023932453.555413
2013,Planeación,3.0,Departamento administrativo nacional de planeación,301,80672065183.0,Funcionamiento,53.46505625304829,150887459654.36163
2013,Planeación,3.0,Departamento administrativo nacional de planeación,301,355962638202.0,Inversión,53.46505625304829,665785586228.9585
2013,Planeación,3.0,Unidad administrativa especial - agencia nacional de contratación pública - colombia compra eficiente,303,8831000000.0,Funcionamiento,53.46505625304829,16517330418.962204
2013,Planeación,3.0,Unidad administrativa especial - agencia nacional de contratación pública - colombia compra eficiente,303,15500000000.0,Inversión,53.46505625304829,28990898142.21653
2013,Planeación,3.0,Superintendencia de servicios públicos domiciliarios,324,61151162000.0,Funcionamiento,53.46505625304829,114375942504.52788
2013,Planeación,3.0,Superintendencia de servicios públicos domiciliarios,324,24814400000.0,Inversión,53.46505625304829,46412370507.11083
2013,Planeación,3.0,Fondo nacional de regalías en liquidación,325,3342000000.0,Funcionamiento,53.46505625304829,6250811715.566945
2013,Planeación,3.0,Fondo nacional de regalías en liquidación,325,408265000000.0,Inversión,53.46505625304829,763610905163.3568
2013,Información estadistíca,4.0,Departamento administrativo nacional de estadística (dane),401,73805588071.0,Funcionamiento,53.46505625304829,138044534586.62918
2013,Información estadistíca,4.0,Departamento administrativo nacional de estadística (dane),401,113181260052.0,Inversión,53.46505625304829,211692024630.66147
2013,Información estadistíca,4.0,Fondo rotatorio del dane,402,1873400000.0,Funcionamiento,53.46505625304829,3503970876.105061
2013,Información estadistíca,4.0,Fondo rotatorio del dane,402,9500000000.0,Inversión,53.46505625304829,17768614990.390778
2013,Información estadistíca,4.0,Instituto geográfico agustín codazzi - igac,403,80240000000.0,Funcionamiento,53.46505625304829,150079333350.4164
2013,Información estadistíca,4.0,Instituto geográfico agustín codazzi - igac,403,145396846425.0,Inversión,53.46505625304829,271947429993.979
2013,Empleo público,5.0,Departamento administrativo de la función pública,501,13632550000.0,Funcionamiento,53.46505625304829,25498056030.23703
2013,Empleo público,5.0,Departamento administrativo de la función pública,501,5773000000.0,Inversión,53.46505625304829,10797706772.581678
2013,Empleo público,5.0,Escuela superior de administración pública (esap),503,51383000000.0,Funcionamiento,53.46505625304829,96105762531.71045
2013,Empleo público,5.0,Escuela superior de administración pública (esap),503,86215272000.0,Inversión,53.46505625304829,161255365732.61243
2013,Departamento administrativo de seguridad (das),6.0,Departamento administrativo de seguridad (das) en supresión,601,74142862180.0,Funcionamiento,53.46505625304829,138675365511.79214
2013,Departamento administrativo de seguridad (das),6.0,Fondo rotatorio del departamento administrativo de seguridad,602,20991096000.0,Funcionamiento,53.46505625304829,39261337163.192825
2013,Departamento administrativo de seguridad (das),6.0,Fondo rotatorio del departamento administrativo de seguridad,602,8536540820.0,Inversión,53.46505625304829,15966579703.193134
2013,Relaciones exteriores,11.0,Ministerio de relaciones exteriores,1101,234237000000.0,Funcionamiento,53.46505625304829,438112323105.7015
2013,Relaciones exteriores,11.0,Fondo rotatorio del ministerio de relaciones exteriores,1102,232440000000.0,Funcionamiento,53.46505625304829,434751249301.7297
2013,Relaciones exteriores,11.0,Fondo rotatorio del ministerio de relaciones exteriores,1102,48255000000.0,Inversión,53.46505625304829,90255212248.55862
2013,Relaciones exteriores,11.0,Unidad administrativa especial migración colombia,1104,70433000000.0,Funcionamiento,53.46505625304829,131736511538.75722
2013,Relaciones exteriores,11.0,Unidad administrativa especial migración colombia,1104,13130000000.0,Inversión,53.46505625304829,24558096297.245358
2013,Justicia y el derecho,12.0,Ministerio de justicia y del derecho,1201,54680087196.0,Funcionamiento,53.46505625304829,102272570213.33899
2013,Justicia y el derecho,12.0,Ministerio de justicia y del derecho,1201,52369975978.0,Inversión,53.46505625304829,97951783179.9048
2013,Justicia y el derecho,12.0,Superintendencia de notariado y registro,1204,374715717755.0,Funcionamiento,53.46505625304829,700860981014.3718
2013,Justicia y el derecho,12.0,Superintendencia de notariado y registro,1204,355311000000.0,Inversión,53.46505625304829,664566774826.3934
2013,Justicia y el derecho,12.0,Instituto nacional penitenciario y carcelario - inpec,1208,886834038549.0,Funcionamiento,53.46505625304829,1658717114879.0056
2013,Justicia y el derecho,12.0,Instituto nacional penitenciario y carcelario - inpec,1208,4430632570.0,Inversión,53.46505625304829,8286968873.706906
2013,Justicia y el derecho,12.0,Dirección nacional de estupefacientes en liquidación,1209,231492057800.0,Funcionamiento,53.46505625304829,432978236671.7356
2013,Justicia y el derecho,12.0,Dirección nacional de estupefacientes en liquidación,1209,59808000000.0,Inversión,53.46505625304829,111863718457.39911
2013,Justicia y el derecho,12.0,Unidad administrativa especial agencia nacional de defensa jurídica del estado,1210,24839769682.0,Funcionamiento,53.46505625304829,46459821466.25679
2013,Justicia y el derecho,12.0,Unidad administrativa especial agencia nacional de defensa jurídica del estado,1210,1072000000.0,Inversión,53.46505625304829,2005047923.1262012
2013,Justicia y el derecho,12.0,Unidad de servicios penitenciarios y carcelarios - uspec,1211,381636487014.0,Funcionamiento,53.46505625304829,713805453056.53
2013,Justicia y el derecho,12.0,Unidad de servicios penitenciarios y carcelarios - uspec,1211,124900515028.0,Inversión,53.46505625304829,233611490908.8473
2013,Hacienda,13.0,Ministerio de hacienda y crédito público,1301,10196721395655.0,Funcionamiento,53.46505625304829,19071749120386.715
2013,Hacienda,13.0,Ministerio de hacienda y crédito público,1301,1281520325472.0,Inversión,53.46505625304829,2396930659544.447
2013,Hacienda,13.0,Unidad administrativa especial contaduría general de la nación,1308,9968562438.0,Funcionamiento,53.46505625304829,18645005049.315075
2013,Hacienda,13.0,Unidad administrativa especial contaduría general de la nación,1308,8925290168.0,Inversión,53.46505625304829,16693688912.917074
2013,Hacienda,13.0,Superintendencia de la economía solidaria,1309,8003640406.0,Funcionamiento,53.46505625304829,14969853146.920938
2013,Hacienda,13.0,Superintendencia de la economía solidaria,1309,4041000000.0,Inversión,53.46505625304829,7558207702.754644
2013,Hacienda,13.0,Unidad administrativa especial dirección de impuestos y aduanas nacionales,1310,1003604100000.0,Funcionamiento,53.46505625304829,1877121563755.5415
2013,Hacienda,13.0,Unidad administrativa especial dirección de impuestos y aduanas nacionales,1310,393499045796.0,Inversión,53.46505625304829,735992951982.6603
2013,Hacienda,13.0,Unidad de información y análisis financiero,1312,6676112721.0,Funcionamiento,53.46505625304829,12486871218.094648
2013,Hacienda,13.0,Superintendencia financiera de colombia,1313,165774000000.0,Funcionamiento,53.46505625304829,310060461201.79376
