Año,Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,apropiacion_corrientes,apropiacion_cons_2024,Apropiación a precios constantes (2024),Apropiación a precios corrientes
2013,Congreso de la república,1,Congreso de la república,101,Funcionamiento,383435000000,676574864830.2369,676574864830.2369,383435000000
2013,Congreso de la república,1,Congreso de la república,101,Inversión,71142317260,125531325215.2107,125531325215.2107,71142317260
2013,Presidencia de la república,2,Presidencia de la república,201,Funcionamiento,153380609752,270641608905.1305,270641608905.1305,153380609752
2013,Presidencia de la república,2,Presidencia de la república,201,Inversión,105666752705,186450034369.4119,186450034369.4119,105666752705
2013,Presidencia de la república,2,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",209,Funcionamiento,23052000000,40675482895.57975,40675482895.57975,23052000000
2013,Presidencia de la república,2,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",209,Inversión,50153000000,88495466495.836,88495466495.836,50153000000
2013,Presidencia de la república,2,Unidad nacional para la gestión del riesgo de desastres,211,Funcionamiento,30449000000,53727562844.33055,53727562844.33055,30449000000
2013,Presidencia de la república,2,Unidad nacional para la gestión del riesgo de desastres,211,Inversión,2392812678,4222141729.841896,4222141729.841896,2392812678
2013,Presidencia de la república,2,Agencia para la reincorporación y la normalización - arn,212,Funcionamiento,152256000000,268657223830.8776,268657223830.8776,152256000000
2013,Presidencia de la república,2,Agencia para la reincorporación y la normalización - arn,212,Inversión,4290000000,7569747597.693785,7569747597.693785,4290000000
2013,Planeación,3,Departamento administrativo nacional de planeación,301,Funcionamiento,80672065183,142346660051.2845,142346660051.2845,80672065183
2013,Planeación,3,Departamento administrativo nacional de planeación,301,Inversión,355962638202,628099609649.9607,628099609649.9607,355962638202
2013,Planeación,3,Unidad administrativa especial - agencia nacional de contratación pública - colombia compra eficiente,303,Funcionamiento,8831000000,15582387187.70019,15582387187.70019,8831000000
2013,Planeación,3,Unidad administrativa especial - agencia nacional de contratación pública - colombia compra eficiente,303,Inversión,15500000000,27349903907.75144,27349903907.75144,15500000000
2013,Planeación,3,Superintendencia de servicios públicos domiciliarios,324,Funcionamiento,61151162000,107901832551.4414,107901832551.4414,61151162000
2013,Planeación,3,Superintendencia de servicios públicos domiciliarios,324,Inversión,24814400000,43785255195.38757,43785255195.38757,24814400000
2013,Planeación,3,Fondo nacional de regalías en liquidación,325,Funcionamiento,3342000000,5896992184.497116,5896992184.497116,3342000000
2013,Planeación,3,Fondo nacional de regalías en liquidación,325,Inversión,408265000000,720387646380.5253,720387646380.5253,408265000000
2013,Información estadistíca,4,Departamento administrativo nacional de estadística (dane),401,Funcionamiento,73805588071,130230693006.2539,130230693006.2539,73805588071
2013,Información estadistíca,4,Departamento administrativo nacional de estadística (dane),401,Inversión,113181260052,199709457198.7372,199709457198.7372,113181260052
2013,Información estadistíca,4,Fondo rotatorio del dane,402,Funcionamiento,1873400000,3305632901.985906,3305632901.985906,1873400000
2013,Información estadistíca,4,Fondo rotatorio del dane,402,Inversión,9500000000,16762844330.55733,16762844330.55733,9500000000
2013,Información estadistíca,4,Instituto geográfico agustín codazzi - igac,403,Funcionamiento,80240000000,141584276745.6758,141584276745.6758,80240000000
2013,Información estadistíca,4,Instituto geográfico agustín codazzi - igac,403,Inversión,145396846425,256554179239.6028,256554179239.6028,145396846425
2013,Empleo público,5,Departamento administrativo de la función pública,501,Funcionamiento,13632550000,24054769839.84625,24054769839.84625,13632550000
2013,Empleo público,5,Departamento administrativo de la función pública,501,Inversión,5773000000,10186515823.19026,10186515823.19026,5773000000
2013,Empleo público,5,Escuela superior de administración pública (esap),503,Funcionamiento,51383000000,90665813709.16078,90665813709.16078,51383000000
2013,Empleo público,5,Escuela superior de administración pública (esap),503,Inversión,86215272000,152127703521.3325,152127703521.3325,86215272000
2013,Departamento administrativo de seguridad (das),6,Departamento administrativo de seguridad (das) en supresión,601,Funcionamiento,74142862180,130825816520.5586,130825816520.5586,74142862180
2013,Departamento administrativo de seguridad (das),6,Fondo rotatorio del departamento administrativo de seguridad,602,Funcionamiento,20991096000,37038997323.76682,37038997323.76682,20991096000
2013,Departamento administrativo de seguridad (das),6,Fondo rotatorio del departamento administrativo de seguridad,602,Inversión,8536540820,15062811040.74824,15062811040.74824,8536540820
2013,Relaciones exteriores,11,Ministerio de relaciones exteriores,1101,Funcionamiento,234237000000,413313512363.8693,413313512363.8693,234237000000
2013,Relaciones exteriores,11,Fondo rotatorio del ministerio de relaciones exteriores,1102,Funcionamiento,232440000000,410142688020.4996,410142688020.4996,232440000000
2013,Relaciones exteriores,11,Fondo rotatorio del ministerio de relaciones exteriores,1102,Inversión,48255000000,85146426649.58359,85146426649.58359,48255000000
2013,Relaciones exteriores,11,Unidad administrativa especial migración colombia,1104,Funcionamiento,70433000000,124279727866.7521,124279727866.7521,70433000000
2013,Relaciones exteriores,11,Unidad administrativa especial migración colombia,1104,Inversión,13130000000,23168015374.75977,23168015374.75977,13130000000
2013,Justicia y el derecho,12,Ministerio de justicia y del derecho,1201,Funcionamiento,54680087196,96483556805.03676,96483556805.03676,54680087196
2013,Justicia y el derecho,12,Ministerio de justicia y del derecho,1201,Inversión,52369975978,92407342622.55168,92407342622.55168,52369975978
2013,Justicia y el derecho,12,Superintendencia de notariado y registro,1204,Funcionamiento,374715717755,661189604730.5393,661189604730.5393,374715717755
2013,Justicia y el derecho,12,Superintendencia de notariado y registro,1204,Inversión,355311000000,626949787572.0691,626949787572.0691,355311000000
2013,Justicia y el derecho,12,Instituto nacional penitenciario y carcelario - inpec,1208,Funcionamiento,886834038549,1564827466866.986,1564827466866.986,886834038549
2013,Justicia y el derecho,12,Instituto nacional penitenciario y carcelario - inpec,1208,Inversión,4430632570,7817895163.874438,7817895163.874438,4430632570
2013,Justicia y el derecho,12,Dirección nacional de estupefacientes en liquidación,1209,Funcionamiento,231492057800,408470034595.9769,408470034595.9769,231492057800
2013,Justicia y el derecho,12,Dirección nacional de estupefacientes en liquidación,1209,Inversión,59808000000,105531809865.4708,105531809865.4708,59808000000
2013,Justicia y el derecho,12,Unidad administrativa especial agencia nacional de defensa jurídica del estado,1210,Funcionamiento,24839769682,43830020251.18565,43830020251.18565,24839769682
2013,Justicia y el derecho,12,Unidad administrativa especial agencia nacional de defensa jurídica del estado,1210,Inversión,1072000000,1891554644.45868,1891554644.45868,1072000000
2013,Justicia y el derecho,12,Unidad de servicios penitenciarios y carcelarios - uspec,1211,Funcionamiento,381636487014,673401370808.0471,673401370808.0471,381636487014
2013,Justicia y el derecho,12,Unidad de servicios penitenciarios y carcelarios - uspec,1211,Inversión,124900515028,220388198970.6106,220388198970.6106,124900515028
2013,Hacienda,13,Ministerio de hacienda y crédito público,1301,Funcionamiento,10196721395655,17992216151308.22,17992216151308.22,10196721395655
2013,Hacienda,13,Ministerio de hacienda y crédito público,1301,Inversión,1281520325472,2261255339192.874,2261255339192.874,1281520325472
2013,Hacienda,13,Unidad administrativa especial contaduría general de la nación,1308,Funcionamiento,9968562438,17589627405.01422,17589627405.01422,9968562438
2013,Hacienda,13,Unidad administrativa especial contaduría general de la nación,1308,Inversión,8925290168,15748763125.39346,15748763125.39346,8925290168
2013,Hacienda,13,Superintendencia de la economía solidaria,1309,Funcionamiento,8003640406,14122502968.79334,14122502968.79334,8003640406
2013,Hacienda,13,Superintendencia de la economía solidaria,1309,Inversión,4041000000,7130384625.24023,7130384625.24023,4041000000
2013,Hacienda,13,Unidad administrativa especial dirección de impuestos y aduanas nacionales,1310,Funcionamiento,1003604100000,1770869399769.378,1770869399769.378,1003604100000
2013,Hacienda,13,Unidad administrativa especial dirección de impuestos y aduanas nacionales,1310,Inversión,393499045796,694332973568.5472,694332973568.5472,393499045796
2013,Hacienda,13,Unidad de información y análisis financiero,1312,Funcionamiento,6676112721,11780067186.88174,11780067186.88174,6676112721
2013,Hacienda,13,Superintendencia financiera de colombia,1313,Funcionamiento,165774000000,292509869058.2959,292509869058.2959,165774000000
2013,Hacienda,13,Superintendencia financiera de colombia,1313,Inversión,14897359000,26286537879.30813,26286537879.30813,14897359000
2013,Hacienda,13,Unidad administrativa especial de gestión  pensional y contribuciones parafiscales de la protección social (ugppp),1314,Funcionamiento,167013000000,294696096860.9865,294696096860.9865,167013000000
2013,Hacienda,13,Unidad administrativa especial de gestión  pensional y contribuciones parafiscales de la protección social (ugppp),1314,Inversión,6450000000,11381089045.48366,11381089045.48366,6450000000
2013,Hacienda,13,Fondo adaptación,1315,Funcionamiento,20643000000,36424778475.33632,36424778475.33632,20643000000
2013,Hacienda,13,Fondo adaptación,1315,Inversión,1860000000000,3281988468930.172,3281988468930.172,1860000000000
2013,Servicio de la deuda pública nacional,14,Servicio de la deuda pública nacional,1401,Deuda,45109198935564,79595629435052.83,79595629435052.83,45109198935564
2013,Defensa y policía,15,Ministerio de defensa nacional,1501,Funcionamiento,10273024534968,18126853798280.5,18126853798280.5,10273024534968
2013,Defensa y policía,15,Ministerio de defensa nacional,1501,Inversión,2372393000000,4186111005253.042,4186111005253.042,2372393000000
2013,Defensa y policía,15,Caja de retiro de las fuerzas militares,1503,Funcionamiento,1755362257450,3097354133196.848,3097354133196.848,1755362257450
2013,Defensa y policía,15,Caja de retiro de las fuerzas militares,1503,Inversión,9040000000,15951169762.97245,15951169762.97245,9040000000
2013,Defensa y policía,15,Instituto casas fiscales del ejército,1507,Funcionamiento,20903385000,36884230393.3376,36884230393.3376,20903385000
2013,Defensa y policía,15,Instituto casas fiscales del ejército,1507,Inversión,48316000000,85254061755.28506,85254061755.28506,48316000000
2013,Defensa y policía,15,"Defensa civil colombiana, guillermo león valencia",1508,Funcionamiento,22393573000,39513681916.20756,39513681916.20756,22393573000
2013,Defensa y policía,15,"Defensa civil colombiana, guillermo león valencia",1508,Inversión,1707000000,3012018449.711723,3012018449.711723,1707000000
2013,Defensa y policía,15,Club militar de oficiales,1510,Funcionamiento,36746653072,64839834222.62447,64839834222.62447,36746653072
2013,Defensa y policía,15,Caja de sueldos de retiro de la policía nacional,1511,Funcionamiento,2161155900000,3813381044817.424,3813381044817.424,2161155900000
2013,Defensa y policía,15,Caja de sueldos de retiro de la policía nacional,1511,Inversión,1950000000,3440794362.588084,3440794362.588084,1950000000
2013,Defensa y policía,15,Fondo rotatorio de la policía,1512,Funcionamiento,313287000000,552798022293.4016,552798022293.4016,313287000000
2013,Defensa y policía,15,Fondo rotatorio de la policía,1512,Inversión,8000000000,14116079436.25881,14116079436.25881,8000000000
2013,Defensa y policía,15,Superintendencia de vigilancia y seguridad privada,1516,Funcionamiento,10150100000,17909952235.74632,17909952235.74632,10150100000
2013,Defensa y policía,15,Superintendencia de vigilancia y seguridad privada,1516,Inversión,500000000,882254964.7661754,882254964.7661754,500000000
2013,Defensa y policía,15,Hospital militar,1519,Funcionamiento,205925008000,363356721355.0288,363356721355.0288,205925008000
2013,Defensa y policía,15,Hospital militar,1519,Inversión,9197000000,16228197821.90903,16228197821.90903,9197000000
2013,Defensa y policía,15,Agencia logística de las fuerzas militares,1520,Funcionamiento,952944357669,1681479781398.779,1681479781398.779,952944357669
2013,Defensa y policía,15,Agencia logística de las fuerzas militares,1520,Inversión,25800000000,45524356181.93465,45524356181.93465,25800000000
2013,Defensa y policía,15,Policía nacional,1601,Funcionamiento,6908123036777,12189451692824.19,12189451692824.19,6908123036777
2013,Defensa y policía,15,Policía nacional,1601,Inversión,432087000000,762421801921.8448,762421801921.8448,432087000000
2013,Agricultura y desarrollo rural,17,Ministerio de agricultura y desarrollo rural,1701,Funcionamiento,180864126000,319136546223.1902,319136546223.1902,180864126000
2013,Agricultura y desarrollo rural,17,Ministerio de agricultura y desarrollo rural,1701,Inversión,1408671305470,2485614505949.114,2485614505949.114,1408671305470
2013,Agricultura y desarrollo rural,17,Instituto colombiano agropecuario (ica),1702,Funcionamiento,93744772000,165413581035.7463,165413581035.7463,93744772000
2013,Agricultura y desarrollo rural,17,Instituto colombiano agropecuario (ica),1702,Deuda,238960000,421647292.7610506,421647292.7610506,238960000
2013,Agricultura y desarrollo rural,17,Instituto colombiano agropecuario (ica),1702,Inversión,169449000000,298994443049.3273,298994443049.3273,169449000000
2013,Agricultura y desarrollo rural,17,Instituto colombiano de desarrollo rural - incoder en liquidación,1713,Funcionamiento,50969057000,89935407175.40038,89935407175.40038,50969057000
2013,Agricultura y desarrollo rural,17,Instituto colombiano de desarrollo rural - incoder en liquidación,1713,Deuda,51000000,89990006.4061499,89990006.4061499,51000000
2013,Agricultura y desarrollo rural,17,Instituto colombiano de desarrollo rural - incoder en liquidación,1713,Inversión,446764000000,788319514157.5912,788319514157.5912,446764000000
2013,Agricultura y desarrollo rural,17,Autoridad nacional de acuicultura y pesca - aunap,1715,Funcionamiento,10066545000,17762518608.58424,17762518608.58424,10066545000
2013,Agricultura y desarrollo rural,17,Autoridad nacional de acuicultura y pesca - aunap,1715,Inversión,9869707320,17415196567.71813,17415196567.71813,9869707320
2013,Agricultura y desarrollo rural,17,Unidad administrativa especial de gestión de restitución de tierras despojadas,1716,Funcionamiento,48835000000,86169842408.71236,86169842408.71236,48835000000
2013,Agricultura y desarrollo rural,17,Unidad administrativa especial de gestión de restitución de tierras despojadas,1716,Inversión,202918632770,358051942409.7937,358051942409.7937,202918632770
2013,Salud y protección social,19,Ministerio de salud y protección social,1901,Funcionamiento,6976310393341,12309768960549.94,12309768960549.94,6976310393341
2013,Salud y protección social,19,Ministerio de salud y protección social,1901,Inversión,3508640585375,6191031152054.388,6191031152054.388,3508640585375
2013,Salud y protección social,19,Instituto nacional de salud (ins),1903,Funcionamiento,29997173076,52930309750.50249,52930309750.50249,29997173076
2013,Salud y protección social,19,Instituto nacional de salud (ins),1903,Inversión,37395759708,65985189327.17181,65985189327.17181,37395759708
2013,Salud y protección social,19,Superintendencia nacional de salud,1910,Funcionamiento,72544600000,128005667033.9526,128005667033.9526,72544600000
2013,Salud y protección social,19,Superintendencia nacional de salud,1910,Inversión,31623727546,55800381263.74272,55800381263.74272,31623727546
2013,Salud y protección social,19,Instituto nacional de vigilancia de medicamentos y alimentos - invima,1912,Funcionamiento,97653500000,172310570403.5874,172310570403.5874,97653500000
2013,Salud y protección social,19,Instituto nacional de vigilancia de medicamentos y alimentos - invima,1912,Inversión,59990871333,105854488148.3762,105854488148.3762,59990871333
2013,Salud y protección social,19,Fondo de previsión social del congreso,1913,Funcionamiento,318542901000,562072111796.5406,562072111796.5406,318542901000
2013,Salud y protección social,19,Fondo de previsión social del congreso,1913,Inversión,636600000,1123287021.140295,1123287021.140295,636600000
2013,Salud y protección social,19,Fondo pasivo social de ferrocarriles nacionales de colombia,1914,Funcionamiento,416498052456,734914949189.4979,734914949189.4979,416498052456
2013,Salud y protección social,19,Unidad administrativa especial comisión de regulación en salud - cres,1915,Funcionamiento,10484091000,18499282671.62075,18499282671.62075,10484091000
2013,Salud y protección social,19,Unidad administrativa especial comisión de regulación en salud - cres,1915,Inversión,6945000000,12254521460.60218,12254521460.60218,6945000000
2013,Minas y energía,21,Ministerio de minas y energía,2101,Funcionamiento,59648400000,105250194080.7175,105250194080.7175,59648400000
2013,Minas y energía,21,Ministerio de minas y energía,2101,Inversión,2596610450000,4581744922152.466,4581744922152.466,2596610450000
2013,Minas y energía,21,Servicio geológico colombiano,2103,Funcionamiento,36702300000,64761572786.6752,64761572786.6752,36702300000
2013,Minas y energía,21,Servicio geológico colombiano,2103,Inversión,133653400000,235832751415.7591,235832751415.7591,133653400000
2013,Minas y energía,21,Unidad de planeación minero energética - upme,2109,Funcionamiento,10952601000,19325973218.70596,19325973218.70596,10952601000
2013,Minas y energía,21,Unidad de planeación minero energética - upme,2109,Inversión,30742260000,54245023026.26521,54245023026.26521,30742260000
2013,Minas y energía,21,Instituto de planificación y promoción de soluciones energéticas para las zonas no interconectadas - ipse,2110,Funcionamiento,22400200000,39525375323.51057,39525375323.51057,22400200000
2013,Minas y energía,21,Instituto de planificación y promoción de soluciones energéticas para las zonas no interconectadas - ipse,2110,Inversión,36668600000,64702108802.04996,64702108802.04996,36668600000
2013,Minas y energía,21,Agencia nacional de hidrocarburos - anh,2111,Funcionamiento,251008863000,442907631164.1255,442907631164.1255,251008863000
2013,Minas y energía,21,Agencia nacional de hidrocarburos - anh,2111,Inversión,313820000000,553738506085.8423,553738506085.8423,313820000000
2013,Minas y energía,21,Agencia nacional de minería - anm,2112,Funcionamiento,62949500000,111075017809.0967,111075017809.0967,62949500000
2013,Minas y energía,21,Agencia nacional de minería - anm,2112,Inversión,16408700000,28953314080.71748,28953314080.71748,16408700000
2013,Educación,22,Ministerio de educación nacional,2201,Funcionamiento,23403735052458,41296122888206.48,41296122888206.48,23403735052458
2013,Educación,22,Ministerio de educación nacional,2201,Inversión,1496076676026,2639842150189.631,2639842150189.631,1496076676026
2013,Igualdad y equidad,46,Instituto nacional para sordos (insor),4603,Funcionamiento,3557826459,6277820114.458424,6277820114.458424,3557826459
2013,Igualdad y equidad,46,Instituto nacional para sordos (insor),4603,Inversión,8259472410,14573921080.1435,14573921080.1435,8259472410
2013,Igualdad y equidad,46,Instituto nacional para ciegos (inci),4604,Funcionamiento,3676117399,6486545652.662139,6486545652.662139,3676117399
2013,Igualdad y equidad,46,Instituto nacional para ciegos (inci),4604,Inversión,1543562139,2723630721.115695,2723630721.115695,1543562139
2013,Educación,22,Escuela tecnológica instituto técnico central,2234,Funcionamiento,12710813248,22428356188.52735,22428356188.52735,12710813248
2013,Educación,22,Escuela tecnológica instituto técnico central,2234,Inversión,4069792971,7181190108.470467,7181190108.470467,4069792971
2013,Educación,22,Instituto nacional de formación técnica profesional de san andrés y providencia,2238,Funcionamiento,2588567943,4567553838.692633,4567553838.692633,2588567943
2013,Educación,22,Instituto nacional de formación técnica profesional de san andrés y providencia,2238,Inversión,786950000,1388581089.045484,1388581089.045484,786950000
2013,Educación,22,Instituto nacional de formación técnica profesional de san juan del cesar,2239,Funcionamiento,3265827018,5762584201.396028,5762584201.396028,3265827018
2013,Educación,22,Instituto nacional de formación técnica profesional de san juan del cesar,2239,Inversión,1698315701,2996694917.895195,2996694917.895195,1698315701
2013,Educación,22,Instituto tolimense de formación técnica profesional,2241,Funcionamiento,9748127797,17200668292.15682,17200668292.15682,9748127797
2013,Educación,22,Instituto tolimense de formación técnica profesional,2241,Inversión,600740000,1060011695.067264,1060011695.067264,600740000
2013,Educación,22,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2242,Funcionamiento,4157198202,7335417506.463036,7335417506.463036,4157198202
2013,Educación,22,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2242,Inversión,287116568,506620035.1692504,506620035.1692504,287116568
2013,Tecnologías de la información y las comunicaciones,23,Ministerio de tecnologías de la información y las comunicaciones,2301,Funcionamiento,64534400000,113871589596.4125,113871589596.4125,64534400000
2013,Tecnologías de la información y las comunicaciones,23,Ministerio de tecnologías de la información y las comunicaciones,2301,Inversión,8550000000,15086559897.5016,15086559897.5016,8550000000
2013,Tecnologías de la información y las comunicaciones,23,Fondo único de tecnologías de la información y las comunicaciones,2306,Funcionamiento,346709700000,611772708315.1825,611772708315.1825,346709700000
2013,Tecnologías de la información y las comunicaciones,23,Fondo único de tecnologías de la información y las comunicaciones,2306,Inversión,993315800000,1752715592261.371,1752715592261.371,993315800000
2013,Tecnologías de la información y las comunicaciones,23,Agencia nacional del espectro - ane,2309,Funcionamiento,9664000000,17052223959.00064,17052223959.00064,9664000000
2013,Tecnologías de la información y las comunicaciones,23,Agencia nacional del espectro - ane,2309,Inversión,18500000000,32643433696.34849,32643433696.34849,18500000000
2013,Transporte,24,Ministerio de transporte,2401,Funcionamiento,101182300000,178537173042.9212,178537173042.9212,101182300000
2013,Transporte,24,Ministerio de transporte,2401,Inversión,141894300000,250373901294.0422,250373901294.0422,141894300000
2013,Transporte,24,Instituto nacional de vías,2402,Funcionamiento,118498600000,209091956335.6823,209091956335.6823,118498600000
2013,Transporte,24,Instituto nacional de vías,2402,Deuda,59180100000,104423874080.7175,104423874080.7175,59180100000
2013,Transporte,24,Instituto nacional de vías,2402,Inversión,3764202787083,6641973194581.303,6641973194581.303,3764202787083
2013,Transporte,24,Unidad administrativa especial de la aeronáutica civil,2412,Funcionamiento,251504300000,443781834670.0833,443781834670.0833,251504300000
2013,Transporte,24,Unidad administrativa especial de la aeronáutica civil,2412,Deuda,1212600000,2139644740.550929,2139644740.550929,1212600000
2013,Transporte,24,Unidad administrativa especial de la aeronáutica civil,2412,Inversión,454754397562,802418649996.6512,802418649996.6512,454754397562
2013,Transporte,24,Agencia nacional de infraestructura,2413,Funcionamiento,79156720000,139672818429.212,139672818429.212,79156720000
2013,Transporte,24,Agencia nacional de infraestructura,2413,Deuda,296770295000,523654132317.745,523654132317.745,296770295000
2013,Transporte,24,Agencia nacional de infraestructura,2413,Inversión,2818364111869,4973031460430.476,4973031460430.476,2818364111869
2013,Organismos de control,25,Procuraduría general de la nación,2501,Funcionamiento,426007000000,751693581550.2882,751693581550.2882,426007000000
2013,Organismos de control,25,Procuraduría general de la nación,2501,Inversión,34352000000,60614445099.29532,60614445099.29532,34352000000
2013,Organismos de control,25,Defensoría del pueblo,2502,Funcionamiento,302406000000,533598389750.1601,533598389750.1601,302406000000
2013,Organismos de control,25,Defensoría del pueblo,2502,Inversión,15382000000,27141691736.06662,27141691736.06662,15382000000
2013,Organismos de control,25,Contraloría general de la república,2601,Funcionamiento,386614000000,682184241896.2203,682184241896.2203,386614000000
2013,Organismos de control,25,Contraloría general de la república,2601,Inversión,70071000000,123640975272.2614,123640975272.2614,70071000000
2013,Organismos de control,25,Fondo de bienestar social de la contraloría general de la república,2602,Funcionamiento,52864000000,93279052914.7982,93279052914.7982,52864000000
2013,Organismos de control,25,Fondo de bienestar social de la contraloría general de la república,2602,Inversión,6200000000,10939961563.10057,10939961563.10057,6200000000
2013,Rama judicial,27,Rama judicial,2701,Funcionamiento,2342136081106,4132722371427.525,4132722371427.525,2342136081106
2013,Rama judicial,27,Rama judicial,2701,Inversión,331910058937,585658594706.0043,585658594706.0043,331910058937
2013,Registraduría,28,Registraduría nacional del estado civil,2801,Funcionamiento,345766000000,610107540294.6829,610107540294.6829,345766000000
2013,Registraduría,28,Registraduría nacional del estado civil,2801,Inversión,46489944685,82031969020.09224,82031969020.09224,46489944685
