Tipo de gasto,Entidad,Apropiación a precios corrientes,Código de entidad,Código del sector,Sector
FUNCIONAMIENTO,Congreso de la república,1112522000000.0,101,1.0,Congreso de la república
DEUDA,Congreso de la república,1106000000.0,101,1.0,Congreso de la república
INVERSIÓN,Congreso de la república,200000000000.0,101,1.0,Congreso de la república
FUNCIONAMIENTO,Presidencia de la república,452841786933.0,201,2.0,Presidencia de la república
INVERSIÓN,Presidencia de la república,168668164194.0,201,2.0,Presidencia de la república
FUNCIONAMIENTO,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",48822000000.0,209,2.0,Presidencia de la república
INVERSIÓN,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",102440560000.0,209,2.0,Presidencia de la república
FUNCIONAMIENTO,Unidad nacional para la gestión del riesgo de desastres,707832000000.0,211,2.0,Presidencia de la república
INVERSIÓN,Unidad nacional para la gestión del riesgo de desastres,17000000000.0,211,2.0,Presidencia de la república
FUNCIONAMIENTO,Agencia para la reincorporación y la normalización - arn,88859084174.0,212,2.0,Presidencia de la república
INVERSIÓN,Agencia para la reincorporación y la normalización - arn,2200000000.0,212,2.0,Presidencia de la república
FUNCIONAMIENTO,Agencia nacional inmobiliaria virgilio barco vargas,11856000000.0,213,2.0,Presidencia de la república
INVERSIÓN,Agencia nacional inmobiliaria virgilio barco vargas,24000000000.0,213,2.0,Presidencia de la república
FUNCIONAMIENTO,Agencia de renovación del territorio - art,74833000000.0,1719,17.0,Agricultura y desarrollo rural
INVERSIÓN,Agencia de renovación del territorio - art,65000000000.0,1719,17.0,Agricultura y desarrollo rural
FUNCIONAMIENTO,Departamento administrativo nacional de planeación,121110968620.0,301,3.0,Planeación
INVERSIÓN,Departamento administrativo nacional de planeación,643371314128.0,301,3.0,Planeación
FUNCIONAMIENTO,Unidad administrativa especial - agencia nacional de contratación pública - colombia compra eficiente,25808823411.0,303,3.0,Planeación
INVERSIÓN,Unidad administrativa especial - agencia nacional de contratación pública - colombia compra eficiente,94683000000.0,303,3.0,Planeación
FUNCIONAMIENTO,Superintendencia de servicios públicos domiciliarios,354424083800.0,324,3.0,Planeación
INVERSIÓN,Superintendencia de servicios públicos domiciliarios,38078000000.0,324,3.0,Planeación
FUNCIONAMIENTO,Departamento administrativo nacional de estadística (dane),153718925120.0,401,4.0,Información estadistíca
INVERSIÓN,Departamento administrativo nacional de estadística (dane),194597506983.0,401,4.0,Información estadistíca
FUNCIONAMIENTO,Fondo rotatorio del dane,2744000000.0,402,4.0,Información estadistíca
INVERSIÓN,Fondo rotatorio del dane,103542006932.0,402,4.0,Información estadistíca
FUNCIONAMIENTO,Instituto geográfico agustín codazzi - igac,119056000000.0,403,4.0,Información estadistíca
INVERSIÓN,Instituto geográfico agustín codazzi - igac,600485461000.0,403,4.0,Información estadistíca
FUNCIONAMIENTO,Departamento administrativo de la función pública,34103299265.0,501,5.0,Empleo público
INVERSIÓN,Departamento administrativo de la función pública,15000356199.0,501,5.0,Empleo público
FUNCIONAMIENTO,Escuela superior de administración pública (esap),145292167438.0,503,5.0,Empleo público
INVERSIÓN,Escuela superior de administración pública (esap),272535702975.0,503,5.0,Empleo público
FUNCIONAMIENTO,Ministerio de relaciones exteriores,768975000000.0,1101,11.0,Relaciones exteriores
FUNCIONAMIENTO,Fondo rotatorio del ministerio de relaciones exteriores,880003000000.0,1102,11.0,Relaciones exteriores
INVERSIÓN,Fondo rotatorio del ministerio de relaciones exteriores,142749930347.0,1102,11.0,Relaciones exteriores
FUNCIONAMIENTO,Unidad administrativa especial migración colombia,252961000000.0,1104,11.0,Relaciones exteriores
